client_ip,client_mac,tls_domain,dns_domain,server_ip,time_window
100.70.84.172,b8:29:03:6a:a5:41,imou-sg-hw-online-paas-private-iot-picture.obs.ap-southeast-3.myhuaweicloud.com,imou-sg-hw-online-paas-private-iot-picture.obs.ap-southeast-3.myhuaweicloud.com,111.91.64.35,2025-12-28 11:30:00+07:00
100.70.118.33,b8:29:03:02:84:19,_,imou-sg-hw-online-paas-private-iot-picture.obs.ap-southeast-3.myhuaweicloud.com,111.91.64.35,2025-12-28 11:30:00+07:00
100.70.84.172,b8:29:03:6a:a5:41,_,imou-sg-hw-online-paas-private-iot-picture.obs.ap-southeast-3.myhuaweicloud.com,111.91.64.35,2025-12-28 11:30:00+07:00
14.229.209.205,7c:7b:68:46:55:19,_,_,111.91.64.35,2025-12-28 11:30:00+07:00
192.168.1.12,30:4f:75:82:a9:29,_,_,111.91.64.35,2025-12-28 11:30:00+07:00
100.70.104.112,a0:65:18:7c:5a:c8,_,vp-0502-d03-n01.obs.ap-southeast-3.myhuaweicloud.com,111.91.64.35,2025-12-28 11:30:00+07:00
14.229.182.15,4c:12:e8:b6:af:11,_,imou-sg-hw-online-paas-private-iot-picture.obs.ap-southeast-3.myhuaweicloud.com,111.91.64.35,2025-12-28 11:30:00+07:00
100.70.129.172,a0:65:18:9d:52:25,_,imou-sg-hw-online-paas-private-iot-picture.obs.ap-southeast-3.myhuaweicloud.com,111.91.64.35,2025-12-28 11:30:00+07:00
100.70.117.136,58:d3:12:1a:1c:6d,_,vc-0502-d01-n05.obs.ap-southeast-3.myhuaweicloud.com,111.91.64.35,2025-12-28 11:30:00+07:00
100.70.92.205,b8:29:03:5b:58:99,_,imou-sg-hw-online-paas-private-iot-picture.obs.ap-southeast-3.myhuaweicloud.com,111.91.64.35,2025-12-28 11:30:00+07:00
100.70.91.66,30:4f:75:3e:ef:39,_,vp-0502-d03-n02.obs.ap-southeast-3.myhuaweicloud.com,111.91.64.35,2025-12-28 11:30:00+07:00
100.70.104.9,30:4f:75:82:a9:29,_,vc-0502-d01-n04.obs.ap-southeast-3.myhuaweicloud.com,111.91.64.35,2025-12-28 11:30:00+07:00
100.70.82.112,4c:12:e8:e7:51:d1,_,vc-0502-d07-n03.cloudlinks.cn,111.91.64.35,2025-12-28 11:30:00+07:00
14.228.135.150,24:43:e2:6a:37:b9,_,vc-0502-d01-n03.cloudlinks.cn,111.91.64.35,2025-12-28 11:30:00+07:00
14.167.0.87,4c:12:e8:f6:20:e9,imou-sg-hw-online-paas-private-iot-picture.obs.ap-southeast-3.myhuaweicloud.com,imou-sg-hw-online-paas-private-iot-picture.obs.ap-southeast-3.myhuaweicloud.com,111.91.64.35,2025-12-28 11:30:00+07:00
113.168.188.161,b8:29:03:61:46:41,_,imou-sg-hw-online-paas-private-iot-picture.obs.ap-southeast-3.myhuaweicloud.com,111.91.64.35,2025-12-28 11:30:00+07:00
14.171.216.78,4c:12:e8:af:eb:b1,_,imou-sg-hw-online-paas-private-iot-picture.obs.ap-southeast-3.myhuaweicloud.com,111.91.64.35,2025-12-28 11:30:00+07:00
113.176.42.251,b8:29:03:78:18:c1,_,imou-sg-hw-online-paas-private-iot-picture.obs.ap-southeast-3.myhuaweicloud.com,111.91.64.35,2025-12-28 11:30:00+07:00
113.168.196.29,b8:29:03:14:2d:f1,_,imou-sg-hw-online-paas-private-iot-picture.obs.ap-southeast-3.myhuaweicloud.com,111.91.64.35,2025-12-28 11:30:00+07:00
14.247.192.154,24:43:e2:d0:a8:81,imou-sg-hw-online-paas-private-iot-picture.obs.ap-southeast-3.myhuaweicloud.com,_,111.91.64.35,2025-12-28 11:30:00+07:00
14.249.45.2,24:43:e2:d0:c2:c1,_,imou-sg-hw-online-paas-private-iot-picture.obs.ap-southeast-3.myhuaweicloud.com,111.91.64.35,2025-12-28 11:30:00+07:00
14.239.164.15,b8:29:03:2f:b8:81,imou-sg-hw-online-paas-private-iot-picture.obs.ap-southeast-3.myhuaweicloud.com,_,111.91.64.35,2025-12-28 11:30:00+07:00
100.70.131.107,b8:29:03:61:7b:d9,_,imou-sg-hw-online-paas-private-iot-picture.obs.ap-southeast-3.myhuaweicloud.com,111.91.64.35,2025-12-28 11:30:00+07:00
14.249.227.40,7c:7b:68:40:07:f9,imou-sg-hw-online-paas-private-iot-picture.obs.ap-southeast-3.myhuaweicloud.com,imou-sg-hw-online-paas-private-iot-picture.obs.ap-southeast-3.myhuaweicloud.com,111.91.64.35,2025-12-28 11:30:00+07:00
100.70.104.9,30:4f:75:82:a9:29,_,vp-0502-d03-n05.obs.ap-southeast-3.myhuaweicloud.com,111.91.64.35,2025-12-28 11:30:00+07:00
