client_ip,client_mac,tls_domain,dns_domain,total_flow
100.70.134.30,a0:65:18:58:55:10,gateway.icloud.com.cn,_,118
113.189.147.162,b8:29:03:04:c7:79,_,_,25
113.189.147.238,b8:29:03:e0:a5:99,_,_,2
113.189.147.238,b8:29:03:e0:a5:99,_,gateway.fe.apple-dns.cn,3
113.189.147.238,b8:29:03:e0:a5:99,_,sharedstreams.fe.apple-dns.cn,5
14.229.183.128,7c:7b:68:45:f3:71,gateway.icloud.com.cn,_,1
14.229.184.24,4c:12:e8:b0:b8:91,gateway.icloud.com.cn,_,1
14.229.34.81,00:1d:aa:95:af:f2,gateway.icloud.com.cn,gateway.fe.apple-dns.cn,1
14.235.148.96,4c:12:e8:b0:59:b1,gateway.icloud.com.cn,gateway.fe.apple-dns.cn,6
14.244.90.33,30:4f:75:3e:4e:29,_,_,12
14.247.106.73,b8:29:03:1a:92:f1,_,_,5
14.247.120.27,7c:7b:68:0c:c9:71,_,_,8
14.247.120.80,4c:12:e8:2f:fd:c1,_,_,3
14.247.120.80,4c:12:e8:2f:fd:c1,_,gateway.fe.apple-dns.cn,2
14.247.192.108,b8:29:03:e0:fa:01,_,_,3
14.247.75.226,70:42:d3:9b:a6:79,gateway.icloud.com.cn,gateway.fe.apple-dns.cn,4
14.247.75.226,70:42:d3:9b:a6:79,gateway.icloud.com.cn,p207-contacts.icloud.com.cn,1
14.249.44.57,7c:7b:68:a4:58:01,_,gateway.icloud.com.cn,3
14.249.45.76,30:4f:75:3e:4e:01,_,_,28
14.249.47.125,24:43:e2:4e:74:c9,_,_,10
14.249.47.125,24:43:e2:4e:74:c9,_,fmip.fe.apple-dns.cn,8
14.249.47.125,24:43:e2:4e:74:c9,_,gateway.fe.apple-dns.cn,6
14.249.47.125,24:43:e2:4e:74:c9,_,gateway.icloud.com.cn,11
14.249.47.125,24:43:e2:4e:74:c9,gateway.icloud.com.cn,fmip.fe.apple-dns.cn,1
14.255.140.209,24:43:e2:46:ea:c1,_,_,15
14.255.140.209,24:43:e2:46:ea:c1,_,gateway.fe.apple-dns.cn,14
14.255.140.209,24:43:e2:46:ea:c1,_,gateway.icloud.com.cn,12
14.255.140.209,24:43:e2:46:ea:c1,gateway.icloud.com.cn,gateway.fe.apple-dns.cn,3
192.168.1.5,30:4f:75:3e:4e:01,_,_,5
192.168.1.9,b8:29:03:04:c7:79,_,_,7
